Type 1,,,,,,,,,
frequency,Real(Z),Im(Z),,,,,,,
5.44425,290236.9063,-13790.21582,,,,,,,
5.09622,290524.6563,-13688.73535,,,,,,,
4.77245,290996.7813,-13284.15625,,,,,,,
4.46939,291309,-12716.22754,,,,,,,
4.18228,291145.1563,-12862.2207,,,,,,,
3.91801,292135,-12504.87988,,,,,,,
3.66784,292586.3125,-11856.27148,,,,,,,
3.43256,293151.0938,-11906.16504,,,,,,,
3.21502,292945.3438,-11969.97266,,,,,,,
3.0106,293303.5313,-11544.32617,,,,,,,
2.81836,293828.3125,-11263.88867,,,,,,,
2.63847,294290.0625,-10839.2168,,,,,,,
2.46841,294288.625,-10628.32129,,,,,,,
2.31139,294804.4063,-10491.75781,,,,,,,
2.16532,295103.4375,-10380.50781,,,,,,,
2.02607,295472.4063,-9946.17773,,,,,,,
1.89808,295556.4375,-9626.68555,,,,,,,
1.77557,295484.5938,-9493.03125,,,,,,,
1.66401,295811.5938,-9428.83203,,,,,,,
1.55783,295730.5938,-8934.41016,,,,,,,
1.4581,295812.9375,-8754.24902,,,,,,,
1.36486,295855.7188,-8449.64063,,,,,,,
1.27843,296023.7188,-8151.85156,,,,,,,
1.19622,295902.0938,-8155.62598,,,,,,,
1.11991,295917.0313,-7845.21875,,,,,,,
1.04894,295763.9688,-7758.23389,,,,,,,
,,,,,,,,,
Type 3,,,,,,,,,
frequency,Real(Z),Imagenary(Z),,,,,,,
1.00E+06,3.31E+04,-15400,,,,,,,
9.36E+05,3.25E+04,-16400,,,,,,,
8.77E+05,3.36E+04,-18300,,,,,,,
8.21E+05,3.56E+04,-17800,,,,,,,
7.68E+05,3.49E+04,-18800,,,,,,,
7.19E+05,3.60E+04,-18600,,,,,,,
6.74E+05,3.62E+04,-19700,,,,,,,
6.31E+05,3.62E+04,-19200,,,,,,,
5.90E+05,3.67E+04,-20200,,,,,,,
5.53E+05,3.85E+04,-20900,,,,,,,
5.17E+05,3.90E+04,-22000,,,,,,,
4.85E+05,3.92E+04,-23200,,,,,,,
4.54E+05,4.05E+04,-23600,,,,,,,
4.25E+05,4.03E+04,-23900,,,,,,,
3.98E+05,4.24E+04,-24600,,,,,,,
3.72E+05,4.20E+04,-25300,,,,,,,
3.49E+05,4.37E+04,-26000,,,,,,,
3.26E+05,4.51E+04,-27000,,,,,,,
3.06E+05,4.54E+04,-28100,,,,,,,
2.86E+05,4.63E+04,-28500,,,,,,,
2.68E+05,4.76E+04,-29800,,,,,,,
2.51E+05,4.83E+04,-31400,,,,,,,
2.35E+05,4.87E+04,-30700,,,,,,,
2.20E+05,5.06E+04,-32200,,,,,,,
2.06E+05,5.12E+04,-33200,,,,,,,
1.93E+05,5.23E+04,-33600,,,,,,,
1.80E+05,5.45E+04,-35300,,,,,,,
1.69E+05,5.52E+04,-36900,,,,,,,
1.58E+05,5.67E+04,-37400,,,,,,,
1.48E+05,5.76E+04,-39800,,,,,,,
1.39E+05,5.88E+04,-40100,,,,,,,
1.30E+05,6.04E+04,-40200,,,,,,,
1.21E+05,6.21E+04,-42800,,,,,,,
1.14E+05,6.33E+04,-43300,,,,,,,
1.06E+05,6.46E+04,-44300,,,,,,,
9.97E+04,6.62E+04,-46200,,,,,,,
9.33E+04,6.80E+04,-47800,,,,,,,
8.74E+04,7.13E+04,-48100,,,,,,,
8.18E+04,7.27E+04,-49800,,,,,,,
7.66E+04,7.44E+04,-51200,,,,,,,
7.17E+04,7.68E+04,-52800,,,,,,,
6.71E+04,7.93E+04,-54400,,,,,,,
6.29E+04,8.11E+04,-56600,,,,,,,
5.89E+04,8.43E+04,-56500,,,,,,,
5.51E+04,8.63E+04,-58700,,,,,,,
5.16E+04,8.80E+04,-59300,,,,,,,
4.83E+04,9.18E+04,-62100,,,,,,,
4.52E+04,9.46E+04,-61800,,,,,,,
4.23E+04,9.81E+04,-63400,,,,,,,
3.96E+04,1.01E+05,-64300,,,,,,,
3.71E+04,1.04E+05,-65200,,,,,,,
3.47E+04,1.07E+05,-66900,,,,,,,
3.25E+04,1.10E+05,-66600,,,,,,,
3.05E+04,1.14E+05,-67800,,,,,,,
2.85E+04,1.18E+05,-69700,,,,,,,
2.67E+04,1.21E+05,-69900,,,,,,,
2.50E+04,1.25E+05,-71000,,,,,,,
2.34E+04,1.29E+05,-71200,,,,,,,
2.19E+04,1.33E+05,-70600,,,,,,,
2.05E+04,1.36E+05,-71200,,,,,,,
1.92E+04,1.40E+05,-70600,,,,,,,
1.80E+04,1.43E+05,-70900,,,,,,,
1.68E+04,1.47E+05,-70500,,,,,,,
1.58E+04,1.50E+05,-70800,,,,,,,
1.48E+04,1.55E+05,-70600,,,,,,,
1.38E+04,1.56E+05,-70200,,,,,,,
1.29E+04,1.61E+05,-68600,,,,,,,
1.21E+04,1.65E+05,-68300,,,,,,,
1.13E+04,1.68E+05,-66800,,,,,,,
1.06E+04,1.72E+05,-66500,,,,,,,
9.94E+03,1.75E+05,-64800,,,,,,,
9.31E+03,1.77E+05,-63900,,,,,,,
8.71E+03,1.80E+05,-62500,,,,,,,
8.15E+03,1.83E+05,-60800,,,,,,,
7.63E+03,1.86E+05,-60300,,,,,,,
7.15E+03,1.88E+05,-58100,,,,,,,
6.69E+03,1.91E+05,-57300,,,,,,,
6.27E+03,1.94E+05,-55600,,,,,,,
5.87E+03,1.96E+05,-54300,,,,,,,
5.50E+03,1.98E+05,-52900,,,,,,,
5.14E+03,2.00E+05,-51600,,,,,,,
4.82E+03,2.02E+05,-49900,,,,,,,
4.51E+03,2.05E+05,-49100,,,,,,,
4.22E+03,2.06E+05,-47200,,,,,,,
3.95E+03,2.08E+05,-46800,,,,,,,
3.70E+03,2.09E+05,-44400,,,,,,,
3.46E+03,2.12E+05,-43300,,,,,,,
3.24E+03,2.13E+05,-42300,,,,,,,
3.04E+03,2.14E+05,-40600,,,,,,,
2.84E+03,2.15E+05,-40300,,,,,,,
2.66E+03,2.17E+05,-38500,,,,,,,
2.49E+03,2.19E+05,-38900,,,,,,,
2.33E+03,2.20E+05,-36800,,,,,,,
2.18E+03,2.21E+05,-35400,,,,,,,
2.05E+03,2.22E+05,-34600,,,,,,,
1.91E+03,2.23E+05,-33400,,,,,,,
1.79E+03,2.24E+05,-32300,,,,,,,
1.68E+03,2.25E+05,-31400,,,,,,,
1.57E+03,2.26E+05,-30600,,,,,,,
1.47E+03,2.27E+05,-30000,,,,,,,
1.38E+03,2.28E+05,-28600,,,,,,,
1.29E+03,2.29E+05,-27800,,,,,,,
1.21E+03,2.29E+05,-27600,,,,,,,
1.13E+03,2.30E+05,-26400,,,,,,,
1.06E+03,2.31E+05,-25600,,,,,,,
9.91E+02,2.32E+05,-25900,,,,,,,
9.28E+02,2.32E+05,-25400,,,,,,,
8.69E+02,2.33E+05,-24200,,,,,,,
